"area","bacia","capacidade","data_informacao","estado","fonte","hectares","id","municipio","nome","nome_sem_acento","perimetro","reservat","reservat_sem_acento","tipo","uf","volume","volume_percentual"
0,"Médio Paraíba",1.45,2016-12-05,"PARAÍBA","ANA",11.32,12196,"Fagundes","Gavião","Gaviao",2122.6,"Açude Gavião","Acude Gaviao","reservatorio","PB",0.24,16.6
24903723.87,"Curu",322.2,2017-03-17,"CEARÁ","ANA",2490.37,12197,"General Sampaio / Paramoti","General Sampaio","General Sampaio",155989.14,"Açude General Sampaio","Acude General Sampaio","reservatorio","CE",34.88,10.8
0,"Litoral",4,2017-03-18,"CEARÁ","ANA",171.59,12198,"Sobral","Atimbone","Atimbone",16433.96,"Açude Atimbone","Acude Atimbone","reservatorio","CE",0.53,13.2
0,"Piancó",1.35,2017-03-16,"PARAÍBA","AESA",3.34,12199,"Juru","Glória","Gloria",1440.56,"Açude Glória","Acude Gloria","reservatorio","PB",0.42,31.2
0,"Sergipe",0.58,2016-12-30,"SERGIPE","ANA",11.72,12200,"Nossa Senhora da Glória","Glória","Gloria",3148.88,"Açude Glória","Acude Gloria","reservatorio","SE",0.51,88
215687.07,"Salgado",2.39,2017-03-03,"CEARÁ","ANA",21.57,12202,"Mauriti","Gomes","Gomes",3580.45,"Açude Gomes","Acude Gomes","reservatorio","CE",0.32,13.4
543279.26,"São Francisco",8.37,2017-03-08,"ALAGOAS","ANA",54.33,12204,"Mata Grande","Gravatá","Gravata",6294.82,"Açude Gravatá","Acude Gravata","reservatorio","AL",4.32,51.6
913658.9,"Taperoá",3.68,2017-03-18,"PARAÍBA","AESA",91.37,12206,"Gurjão","Gurjão","Gurjao",5944.25,"Açude Gurjão","Acude Gurjao","reservatorio","PB",0,0
833193.71,"Una",3.85,2016-09-02,"PERNAMBUCO","ANA",83.32,12207,"Capoeiras","Gurjão","Gurjao",5468.46,"Barragem do Gurjão","Barragem do Gurjao","reservatorio","PE",0.1,2.6
1158314.2,"Ipanema",4.8,2017-01-26,"PERNAMBUCO","ANA",115.83,12208,"Venturosa / Pedra","Ingazeira","Ingazeira",10474.56,"Barragem de Ingazeira","Barragem de Ingazeira","reservatorio","PE",0.11,2.3
5082438.08,"Canindé",25.72,2017-02-20,"PIAUÍ","ANA",508.24,12209,"Paulistana","Ingazeiras","Ingazeiras",37076.96,"Açude Ingazeiras","Acude Ingazeiras","reservatorio","PI",16.55,64.4
2359801.97,"Trairi",17.6,2017-01-19,"RIO GRANDE DO NORTE","ANA",235.98,12210,"Santa Cruz","Inharé","Inhare",13928.09,"Açude Inharé","Acude Inhare","reservatorio","RN",0.56,3.2
0,"Mundau",7.87,2017-01-26,"PERNAMBUCO","ANA",132.72,12211,"Garanhuns / São João","Inhumas","Inhumas",10357.67,"Açude Inhumas","Acude Inhumas","reservatorio","PE",0.82,10.4
438708.47,"Ipanema",3.9,2017-02-24,"PERNAMBUCO","ANA",43.87,12212,"Pesqueira","Ipaneminha","Ipaneminha",4855.81,"Barragem de Ipaneminha","Barragem de Ipaneminha","reservatorio","PE",0,0
11979288.43,"Piranhas/Assu",81.75,2017-03-17,"RIO GRANDE DO NORTE","GOVERNO RN",1197.93,12216,"Caicó","Itans","Itans",41700.66,"Açude Itans","Acude Itans","reservatorio","RN",1.38,1.7
0,"Metropolitana",6.3,2017-03-18,"CEARÁ","ANA",148.91,12217,"Maranguape","Itapebussu","Itapebussu",10798.76,"Açude Itapebussu","Acude Itapebussu","reservatorio","CE",3.3,52.4
0,"Parnaíba-CE",136.76,2017-03-17,"CEARÁ","ANA",1040.6,12219,"Ubajara / Tianguá","Jaburu I","Jaburu I",41058.21,"Açude Jaburu I","Acude Jaburu I","reservatorio","CE",19.13,14
15808338.09,"Parnaíba-CE",116,2017-03-17,"CEARÁ","ANA",1580.83,12220,"Independência","Jaburu II","Jaburu II",75037.15,"Açude Jaburu II","Acude Jaburu II","reservatorio","CE",0.33,0.3
0,"São Francisco",0.57,2015-03-18,"ALAGOAS","ANA",5.47,12221,"Jacaré dos Homens","Jacaré dos Homens","Jacare dos Homens",1802.5,"Açude Jacaré dos Homens","Acude Jacare dos Homens","reservatorio","AL",0.23,40.4
